drug/eng,drug/kaz,drug/ru,food/eng,food/kaz,food/ru,general/description/med_description_ru/body,general/description/med_description_ru/ref,general/description/consumer_description_ru,general/_value,general/_degree,_id,_type
tetracycline,тетрациклин,тетрациклин,multivitamins with minerals,дәрумендер мен минералдар,поливитамины с минералами,"Биодоступность пероральных тетрациклинов и солей железа может быть значительно снижена при одновременном применении. Это может снижению терапевтического эффекта. Предлагаемый механизм заключается в хелатировании тетрациклинов катионом железа, образующим нерастворимый комплекс, который плохо всасывается из желудочно-кишечного тракта.","1. ""Product Information. Lamisil (terbinafine)."" Sandoz Pharmaceuticals Corporation (2001):
                    2. Cerner Multum, Inc. ""UK Summary of Product Characteristics.""
                    3. Cerner Multum, Inc. ""Australian Product Information.""","Прием с пищей, особенно с молочными продуктами, значительно снижает всасывание тетрациклина. Содержание кальция в этих продуктах образует нерассасывающиеся хелаты с тетрациклином. Тетрациклин следует вводить за час до или через два часа после еды.",yes,moderate,0080,drug-food
timolol,тимолол,тимолол,multivitamins with minerals,дәрумендер мен минералдар,поливитамины с минералами,"Одновременный прием с солями кальция может снижать пероральную биодоступность бета-блокаторов. Точный механизм взаимодействия неизвестен. У шести здоровых добровольцев прием кальция в дозе 500 мг (в виде лактата, карбоната и глюконата) снижал среднюю пиковую концентрацию в плазме (Cmax) и площадь под кривой зависимости концентрации от времени (AUC) атенолола (100 мг) на 51% и 32%, соответственно. Период полувыведения увеличился на 44%. Через 12 часов после применения комбинации бета-блокирующая активность (о чем свидетельствовало подавление тахикардии при физической нагрузке) была снижена по сравнению с таковой при монотерапии атенололом.
                        Однако во время 4-недельного лечения у шести пациентов с артериальной гипертензией не было различий в значениях артериального давления между курсами лечения. Это может помочь разделить время приема бета-блокаторов и препаратов кальция не менее чем на 2 часа. Пациенты должны находиться под наблюдением на предмет возможного уменьшения эффектов бета-блокаторов после добавления терапии кальцием.","1. Axthelm T, Schafer-Korting M, Kirch W, Kohler H, Mutschler E ""Interaction of atenolol with furosemide and calcium and aluminum salts."" Clin Pharmacol Ther 30 (1981): 429-35","Использование тимолола вместе с поливитаминами с минералами может уменьшить действие тимолола. Разделите время приема тимолола и поливитаминов с минералами не менее чем на 2 часа. Если ваш врач прописывает эти лекарства вместе, вам может потребоваться корректировка дозы или специальный тест для безопасного использования обоих препаратов. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0081,drug-food
timolol,тимолол,тимолол,alcohol,алкоголь,алкоголь,"Многие психотерапевтические и ЦНС-активные средства (например, анксиолитики, седативные, снотворные, антидепрессанты, нейролептики, опиоиды, алкоголь, миорелаксанты) проявляют гипотензивное действие, особенно в начале терапии и при повышении дозы. Одновременное применение с антигипертензивными и другими гипотензивными средствами, в частности вазодилататорами и альфа-адреноблокаторами, может привести к аддитивному влиянию на артериальное давление и ортостазу.  При одновременном применении этих препаратов рекомендуется соблюдать осторожность
                        и тщательно следить за развитием гипотензии. Некоторые специалисты рекомендуют избегать употребления алкоголя пациентам, получающим сосудорасширяющие антигипертензивные препараты. Пациентам следует рекомендовать избегать резкого подъема из сидячего или лежачего положения и сообщать своему врачу, если они испытывают головокружение, предобморочное состояние, обмороки, ортостаз или тахикардию.","1. Sternbach H ""Fluoxetine-associated potentiation of calcium-channel blockers."" J Clin Psychopharmacol 11 (1991): 390-1
                        2. Feder R ""Bradycardia and syncope induced by fluoxetine."" J Clin Psychiatry 52 (1991): 139
                        3. Ely E, Ellison JM, Milofsky JE ""Fluoxetine-induced bradycardia and syncope in two patients."" J Clin Psychiatry 51 (1990): 385-6
                        4. Malevany I, Dreher J, Rodriguez de la Torre B, et al. ""Serum levels and cardiovascular effects of tricyclic antidepressants and selective serotonin reuptake inhibitors in depressed patients."" Ther Drug Monit 23 (2001): 435-40
                        5. Cerner Multum, Inc. ""Australian Product Information."" O 0
                        6. Kecskemeti V, Pacher P ""Cardiovascular side effects of new antidepressants and antipsychotics: new drugs, old concerns?"" Curr Pharm Des 10 (2004): 2463-75
                        7. Andrews C, Pinner G ""Postural hypotension induced by paroxetine."" BMJ 316 (1998): 595","Тимолол и этанол могут иметь дополнительные эффекты в снижении артериального давления. Вы можете испытывать головную боль, головокружение, предобморочное состояние, обмороки и/или изменения пульса или частоты сердечных сокращений. Эти побочные эффекты чаще всего наблюдаются в начале лечения, после увеличения дозы или при возобновлении лечения после перерыва. Сообщите своему врачу, если у вас появятся эти симптомы и они не исчезнут через несколько дней или станут беспокоить вас. Избегайте вождения или работы с опасными механизмами, пока не узнаете, как лекарства влияют на вас и соблюдайте осторожность, вставая из сидячего или лежачего положения.
                    Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0082,drug-food
tramadol,трамадол,трамадол,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты агентов, действующих на ЦНС. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.
                    Пациенты, получающие препараты, действующие на ЦНС, должны быть предупреждены об этом взаимодействии и рекомендованы избегать или ограничивать потребление алкоголя. Амбулаторным пациентам следует рекомендовать избегать опасных видов деятельности, требующих полной умственной бдительности и координации движений, пока они не узнают, как эти агенты влияют на них, и уведомлять своего врача, если они испытывают чрезмерное или длительное воздействие на ЦНС, которое мешает их нормальной деятельности.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                    2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):
                    3. ""Product Information. Fycompa (perampanel)."" Eisai Inc (2012):
                    4. ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc (2015):","Алкоголь может усилить воздействие трамадола на нервную систему, например, на головокружение, чувствительность и трудности с концентрацией внимания. Некоторые люди также могут выявить нарушения в мышлении и суждениях. Вам следует соблюдать или ограничивать употребление алкоголя во время лечения трамадолом. Не принимайте трамадол в дозе, строгой рекомендуемой, и избегайте занятий, требующих умственной активности, таких как вождение автомобиля или работа с опасными механизмами, пока не узнаете, как лекарство обнаруживается на вас. Поговорите со своим врачом или фармацевтом, если у вас есть какие-либо вопросы или опасения.",yes,moderate,0083,drug-food
trifluoperazine,трифлуоперазин,трифлуоперазин,alcohol,алкоголь,алкоголь,"Одновременное применение этанола и фенотиазинов может привести к дополнительному угнетению ЦНС и психомоторным нарушениям. Кроме того, этанол может вызвать дистонические реакции у пациентов, принимающих фенотиазины. Эти два препарата, вероятно, действуют на разные участки мозга, хотя точный механизм взаимодействия неизвестен.","1. Lutz EG ""Neuroleptic-induced akathisia and dystonia triggered by alcohol."" JAMA 236 (1976): 2422-3
                	 2. Freed E ""Alcohol-triggered-neuroleptic-induced tremor, rigidity and dystonia."" Med J Aust 2 (1981): 44-5","Одновременное применение алкоголя и трифлуоперазина может вызвать неконтролируемые движения, возбуждение, судороги, сильное головокружение или обморок, кому, очень глубокий сон, нерегулярное сердцебиение и высокую или низкую температуру тела. Соблюдайте осторожность при вождении автомобиля, работе с механизмами или выполнении других опасных видов деятельности при лечении трифлуоперазином./",yes,moderate,0084,drug-food
fluoxetine,флуоксетин,флуоксетин,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты агентов, действующих на ЦНС. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.
                    Пациенты, получающие препараты, действующие на ЦНС, должны быть предупреждены об этом взаимодействии и рекомендованы избегать или ограничивать потребление алкоголя.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                    2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):
                    3. ""Product Information. Fycompa (perampanel)."" Eisai Inc (2012):
                    4. ""Product Information. Rexulti (brexpiprazole)."" Otsuka American Pharmaceuticals Inc (2015):","Алкоголь может усилить побочные эффекты флуоксетина на нервную систему, такие как головокружение, сонливость и трудности с концентрацией внимания. Рекомендуется избегать или ограничить употребление алкоголя во время лечения флуоксетином. Не принимайте Флуоксетин в дозе, превышающей рекомендуемую, и избегайте занятий, требующих умственной активности, таких как вождение автомобиля или работа с опасными механизмами, пока не узнаете, как лекарство влияет на вас.",yes,moderate,0085,drug-food
fosinopril,фозиноприл,фозиноприл,potassium,калий,калий,"Умеренное или высокое потребление калия с пищей может вызвать гиперкалиемию у некоторых пациентов, принимающих ингибиторы ангиотензинпревращающего фермента (АПФ). Ингибиторы АПФ могут способствовать развитию гиперкалиемии за счет ингибирования ренин-ангиотензин-альдостероновой системы (РААС).
                    Рекомендуется пациентам, принимающим ингибиторы АПФ, избегать употребления калия с умеренным или высоким содержанием калия с пищей. Особое внимание следует обратить на содержание калия в заменителях соли.","1. ""Product Information. Vasotec (enalapril)."" Merck Company Inc (2002):
                    2. Good CB, McDermott L ""Diet and serum potassium in patients on ACE inhibitors."" JAMA 274 (1995): 538
                    3. Watson R, Dorman S, Ray K ""Severe hyperkalaemia due to the concomitant use of salt substitutes and ACE inhibitors in hypertension: a potentially life threatening interaction."" J Hum Hypertens 13 (1999): 717-20","Если вы принимаете фозиноприл, вам следует избегать умеренно высокого или высокого потребления калия с пищей. Это может вызвать высокий уровень калия в вашей крови. Не используйте заменители соли или добавки калия во время приема фозиноприла, если только ваш врач не посоветовал вам это сделать.",yes,moderate,0086,drug-food
folic acid,фолий қышқылы,фолиевая кислота,alcohol,алкоголь,алкоголь,"Этанол может усиливать выведение фолиевой кислоты, а у хронических алкоголиков всасывание фолиевой кислоты снижается. Чрезмерное употребление алкоголя может привести к дефициту фолиевой кислоты.","1. Cerner Multum, Inc. ""UK Summary of Product Characteristics.""
                    2. Cerner Multum, Inc. ""Australian Product Information."" 
                    3. Agencia Espanola de Medicamentos y Productos Sanitarios Healthcare ""Centro de informacion online de medicamentos de la AEMPS - CIMA. https://cima.aemps.es/cima/publico/home.html."" (2008):
                    4. Inc, Cerner Multum ""ANVISA Bulario Eletronico."" (2015):
                    5. ""Product Information. Folic Acid (folic acid)."" Method Pharmaceuticals, LLC (2017):","Проконсультируйтесь со своим врачом, прежде чем употреблять алкоголь вместе с фолиевой кислотой. Чрезмерное употребление алкоголя может снизить всасывание и увеличить выведение фолиевой кислоты. Обратитесь к врачу, если ваши симптомы ухудшатся или ваше состояние изменится. Поговорите со своим врачом, если у вас есть какие-либо вопросы или опасения. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств, предварительно не посоветовавшись со своим врачом.",yes,moderate,0087,drug-food
furosemide,фуросемид,фуросемид,alcohol,алкоголь,алкоголь,"Многие психотерапевтические и ЦНС-активные средства (например, анксиолитики, седативные, снотворные, антидепрессанты, нейролептики, опиоиды, алкоголь, миорелаксанты) проявляют гипотензивное действие, особенно в начале терапии и при повышении дозы. Одновременное применение с антигипертензивными и другими гипотензивными средствами, в частности вазодилататорами и альфа-адреноблокаторами, может привести к аддитивному влиянию на артериальное давление и ортостазу.  При одновременном применении этих препаратов рекомендуется соблюдать осторожность
                        и тщательно следить за развитием гипотензии. Некоторые специалисты рекомендуют избегать употребления алкоголя пациентам, получающим сосудорасширяющие антигипертензивные препараты.","1. Sternbach H ""Fluoxetine-associated potentiation of calcium-channel blockers."" J Clin Psychopharmacol 11 (1991): 390-1
                        2. Feder R ""Bradycardia and syncope induced by fluoxetine."" J Clin Psychiatry 52 (1991): 139
                        3. Ely E, Ellison JM, Milofsky JE ""Fluoxetine-induced bradycardia and syncope in two patients."" J Clin Psychiatry 51 (1990): 385-6
                        4. Malevany I, Dreher J, Rodriguez de la Torre B, et al. ""Serum levels and cardiovascular effects of tricyclic antidepressants and selective serotonin reuptake inhibitors in depressed patients."" Ther Drug Monit 23 (2001): 435-40
                        5. Cerner Multum, Inc. ""Australian Product Information."" O 0
                        6. Kecskemeti V, Pacher P ""Cardiovascular side effects of new antidepressants and antipsychotics: new drugs, old concerns?"" Curr Pharm Des 10 (2004): 2463-75
                        7. Andrews C, Pinner G ""Postural hypotension induced by paroxetine."" BMJ 316 (1998): 595","Фуросемид и этанол могут иметь дополнительные эффекты в снижении артериального давления. Вы можете испытывать головную боль, головокружение, предобморочное состояние, обмороки и/или изменения пульса или частоты сердечных сокращений. Эти побочные эффекты чаще всего наблюдаются в начале лечения, после увеличения дозы или при возобновлении лечения после перерыва. Сообщите своему врачу, если у вас появятся эти симптомы и они не исчезнут через несколько дней или станут беспокоить вас. Избегайте вождения или работы с опасными механизмами,
                    пока не узнаете, как лекарства влияют на вас и соблюдайте осторожность, вставая из сидячего или лежачего положения. Важно сообщить своему врачу обо всех других лекарствах, которые вы принимаете, включая витамины и травы. Не прекращайте прием каких-либо лекарств без предварительной консультации с врачом.",yes,moderate,0088,drug-food
cetirizine,цетиризин,цетиризин,alcohol,алкоголь,алкоголь,"Алкоголь может усиливать некоторые фармакологические эффекты агентов, действующих на ЦНС. Применение в комбинации может привести к дополнительному угнетению центральной нервной системы и/или ухудшению суждений, мышления и психомоторных навыков.","1. Ankier SI, Turner P, Warrington SJ ""Evaluation of possible interactions between ethanol and trazodone or amitriptyline."" Neuropsychobiology 15 (1986): 31-7
                    2. Gilman AG, eds., Nies AS, Rall TW, Taylor P ""Goodman and Gilman's the Pharmacological Basis of Therapeutics."" New York, NY: Pergamon Press Inc. (1990):","Алкоголь может усилить побочные эффекты цетиризина на нервную систему, такие как головокружение, сонливость и трудности с концентрацией внимания. Некоторые люди также могут испытывать нарушения в мышлении и суждениях. Вам следует избегать или ограничить употребление алкоголя во время лечения цетиризином.",yes,moderate,0089,drug-food
ciprofloxacin,ципрофлоксацин,ципрофлоксацин,dairy products,сүт өнімдері,молочные продукты,"Одновременный прием молочных продуктов (молока, йогурта) или продуктов, обогащенных кальцием (например, хлопьев, апельсинового сока), может снизить активность некоторых пероральных фторхинолоновых антибиотиков. Механизм заключается в хелатировании кальция и хинолона, что приводит к снижению биодоступности. В случае апельсинового сока также может быть задействовано ингибирование механизмов кишечного транспорта (Р-гликопротеина или органических анион-транспортирующих полипептидов) флавонами. В одном исследовании сообщалось о снижении максимальной концентрации ципрофлоксацина в плазме крови в среднем на 41% и снижении AUC на 38% при приеме ципрофлоксацина с обогащенным кальцием апельсиновым соком вместо воды. Прием таблеток ципрофлоксацина с энтеральным питанием может снизить его биодоступность и максимальную концентрацию в сыворотке крови. Данные противоречивы и варьируются в зависимости от типа продукта для энтерального питания, расположения питательной трубки и характеристик пациента.
                    При самостоятельном приеме молочные продукты или продукты, обогащенные кальцием, следует принимать не менее чем за 2 часа до или после приема ципрофлоксацина. При назначении таблеток ципрофлоксацина пациентам, получающим непрерывное энтеральное питание, эксперты рекомендуют прерывать кормление через зонд по крайней мере на 1 час до и через 2 часа после введения дозы ципрофлоксацина. Пациенты должны находиться под наблюдением на предмет изменения антимикробной эффективности и при необходимости переходить на внутривенное введение ципрофлоксацина. Если энтеральный путь, кроме тощей кишечной трубки, недоступен, также рекомендуется перейти на внутривенное введение ципрофлоксацина. Согласно заявлению производителя, пероральную суспензию ципрофлоксацина не следует вводить через назогастральные или питательные трубки из-за ее физических характеристик.","1. ""Product Information. Cipro (ciprofloxacin)."" Bayer (2002):
                    2. Nightingale CH, Forst RW, Lettieri JT, Quintiliani R, Sweeney KR, Yuk JH ""Relative bioavailability in healthy volunteers of ciprofloxacin administered through a nasogastric tube with and without enteral feeding."" Antimicrob Agents Chemother 33 (1989): 1118-20
                    3. Nightingale CH, Quintiliani R, Yuk JH ""Absorption of ciprofloxacin administered through a nasogastric or a nasoduodenal tube in volunteers and patients receiving enteral nutrition."" Diagn Microbiol Infect Dis 13 (1990): 99-102
                    4. Angaran DW, Noer BL ""The effect of enteral feedings on ciprofloxacin pharmacokinetics."" Pharmacotherapy 10 (1990): 254
                    5. Amsden GW, Hejmanowsk LG, Victory JM, Wilton JH, Neuhofel AL ""Lack of bioequivalence of ciprofloxacin when administered with calcium-fortified orange juice: a new twist on an old interaction."" J Clin Pharmacol 42 (2002): 461-6
                    6. Balzar SA, Wohlt PD, Zheng L, Fish JT, Gunderson S, Johnson BD ""Recommendations for the use of medications with continuous enteral nutrition."" Am J Health Syst Pharm 66 (2009): 1438-67","Не принимайте ципрофлоксацин с молочными продуктами, такими как молоко или йогурт, или с продуктами, обогащенными кальцием (например, хлопьями, соками). Вы можете есть или пить молочные продукты или продукты, обогащенные кальцием, во время обычного приема пищи, но не используйте их отдельно при приеме ципрофлоксацина. Они могут сделать лекарство менее эффективным. Когда таблетки ципрофлоксацина вводят с энтеральным (через зонд) кормлением, ципрофлоксацин может действовать не так хорошо. Вы можете прервать кормление за 1 час до и через 2 часа после приема дозы ципрофлоксацина, или ваш врач может принять решение перейти на другое лечение. Пероральную суспензию ципрофлоксацина не следует вводить через назогастральные трубки или питательные трубки.",yes,moderate,0090,drug-food
ciprofloxacin,ципрофлоксацин,ципрофлоксацин,caffeine,кофеин,кофеин,"Одновременное применение с некоторыми хинолонами может повышать концентрацию кофеина в плазме крови и фармакологические эффекты кофеина из-за ингибирования CYP450 1A2 .
                    Пациенты, использующие продукты, содержащие кофеин, должны быть проинформированы о том, что при одновременном применении с хинолонами, которые ингибируют метаболизм кофеина, могут возникать повышенные побочные эффекты, такие как головная боль, тремор, беспокойство, нервозность, бессонница, тахикардия и повышение артериального давления. Потребление кофеина должно быть ограничено при приеме высоких доз этих хинолонов. При подозрении на взаимодействие могут быть рассмотрены другие хинолоны, такие как гатифлоксацин, гемифлоксацин, левофлоксацин, ломефлоксацин, моксифлоксацин и офлоксацин, поскольку обычно считается, что они оказывают незначительное или вообще не влияют на CYP450 1A2 или, как было показано, не взаимодействуют с кофеином.","1. Polk RE ""Drug-drug interactions with ciprofloxacin and other fluoroquinolones."" Am J Med 87 (1989): s76-81
                    2. Healy DP, Rock DT, Mooney ML, Kanawati L, Polk RE ""Interaction between oral ciprofloxacin and caffeine in normal volunteers."" Antimicrob Agents Chemother 33 (1989): 474-8
                    3. Fuhr U, Harder S, Wolf T, Staib AH ""Ciprofloxacin-caffeine: a drug interaction established using in vivo and in vitro investigations."" Am J Med 87 (1989): 89-91
                    4. De la Torre R, Carbo ML, Segura J, et al. ""Effect of quinolones on caffeine disposition."" Clin Pharmacol Ther 45 (1989): 234-40
                    5. ""Product Information. Penetrax (enoxacin)."" Rhone-Poulenc Rorer, Collegeville, PA. (1993):
                    6. Sorgel F, Granneman GR, Mahr G, et al. ""Effects of temafloxacin and ciprofloxacin on the pharmacokinetics of caffeine."" Clin Pharmacokinet 22 (1992): 90-7
                    7. ""Product Information. Cipro (ciprofloxacin)."" Bayer (2002):
                    8. ""Product Information. Noroxin (norfloxacin)."" Merck Company Inc (2001):
                    9. Stille W, Dietlein G, Staib AH, et al. ""Interaction between quinolones and caffeine."" Drugs 34 Suppl 1 (1987): 170-4
                    10. Harder S, Micke S, Stille W, et al. ""Decrease of caffeine elimination in man during co-administration of 4-quinolones."" J Antimicrob Chemother 20 (1987): 729-34
                    11. Harder S, Stille W, Beer C, Papenburg A, Shah PM, Staib AH ""4-Quinolones inhibit biotransformation of caffeine."" Eur J Clin Pharmacol 35 (1988): 651-6
                    12. Nightingale CH, Tessier PR, Nicolau DP, et al. ""The effect of fleroxacin and ciprofloxacin on the pharmacokinetics of multiple dose caffeine."" Drugs 49 Suppl 2 (1995): 357-9
                    13. ""Product Information. Raxar (grepafloxacin)."" Glaxo Wellcome (2001):
                    14. Benitez J, Carrillo JA ""Clinically significant pharmacokinetic interactions between dietary caffeine and medications."" Clin Pharmacokinet 39 (2000): 127-53
                    15. Fuhr U, Harder S, Wolff T, Schymanski P, Staib AH ""Quinolone inhibition of cytochrome P-450 dependent caffeine metabolism in human liver microsomes."" Drug Metab Dispos 18 (1990): 1005-10
                    16. Fuhr U, Zaigler M, Kinzig-Schippers M, et al. ""Interaction of pefloxacin and enoxacin with the human cytochrome P450 enzyme CYP1A2."" Clin Pharmacol Ther 65 (1999): 262-74
                    17. Healy DP, Schoenle JR, Stotka J, Polk RE ""Lack of interaction between lomefloxacin and caffeine in normal volunteers."" Antimicrob Agents Chemother 35 (1991): 660-4","Употребление кофеина вместе с ципрофлоксацином может усилить действие кофеина. Обратитесь к врачу, если вы испытываете головную боль, тремор, беспокойство, нервозность, бессонницу, а также повышенное кровяное давление или частоту сердечных сокращений. Если ваш врач действительно назначает эти лекарства вместе, вам может потребоваться коррекция дозы или специальный тест, чтобы безопасно использовать оба препарата.",yes,moderate,0091,drug-food
ciprofloxacin,ципрофлоксацин,ципрофлоксацин,multivitamins with minerals,дәрумендер мен минералдар,поливитамины и минералы,"Пероральные препараты, содержащие магний, алюминий или кальций, могут значительно снизить всасывание хинолоновых антибиотиков в желудочно-кишечном тракте. Абсорбция также может быть снижена сукральфатом, который содержит алюминий, а также другие поливалентные катионы, такие как железо и цинк. Механизм заключается в хелатировании хинолонов поливалентными катионами, образуя комплекс, который плохо всасывается из желудочно-кишечного тракта. Сообщалось, что биодоступность ципрофлоксацина снижается на целых 90% при одновременном применении с антацидами, содержащими гидроксид алюминия или магния.
                    Когда невозможно избежать одновременного применения, хинолоновые антибиотики следует вводить либо за 2-4 часа до, либо через 4-6 часов после приема препаратов, содержащих поливалентные катионы, чтобы свести к минимуму вероятность взаимодействия.","1. Drwal L, Racht E, Helay DP, Sahai J, Polk RE ""Effect of ferrous sulfate and multivitamins with zinc on absorption of ciprofloxacin in normal volunteers."" Antimicrob Agents Chemother 33 (1989): 1841-4
                    2. Lener ME, Nix DE, Watson WA, et al. ""Effects of aluminum and magnesium antacids and ranitidine on the absorption of ciprofloxacin."" Clin Pharmacol Ther 46 (1989): 700-5
                    3. Garrelts JC, Gerlach EH, Godley PJ, Yakshe CC, Peterie JD ""Sucralfate significantly reduces ciprofloxacin concentrations in serum."" Antimicrob Agents Chemother 34 (1990): 931-3
                    4. Noe AJ, Frost RW, Lasseter KC, Lettieri JT, Shamblen EC ""Effects of aluminum hydroxide and calcium carbonate antacids on the bioavailability of ciprofloxacin."" Antimicrob Agents Chemother 36 (1992): 830-2
                    5. Yuk JH ""Ciprofloxacin levels when receiving sucralfate."" J Am Geriatr Soc 262 (1989): 901
                    6. Deppermann KM, Hoffken G, Koeppe P, Kalz C, Tschink G, Lode H ""Influence of ranitidine, pirenzepine, and aluminum magnesium hydroxide on the bioavailability of various antibiotics, including amoxicillin, cephalexin, doxycycline, and amoxicillin-clavulanic acid."" Antimicrob Agents Chemother 33 (1989): 1901-7
                    7. Kara M, McKay DW, Campbell NR, Haddara WM, Hasinoff BB ""Norfloxacin interaction with antacids and minerals."" Br J Clin Pharmacol 33 (1992): 115-6
                    8. Goldstein HR, Schentag JJ, Wilton JH, Nix DE, Hejmanowski LG, Parpia SH ""Sucralfate reduces the gastrointestinal absorption of norfloxacin."" Antimicrob Agents Chemother 33 (1989): 99-102
                    9. Williams VC, Wilton JH, Nix DE, Norman A, Ronald B, Distlerath L ""Inhibition of norfloxacin absorption by antacids."" Antimicrob Agents Chemother 34 (1990): 432-5
                    10. Akerele JO, Okhamafe AO ""Influence of oral co-administered metallic drugs on ofloxacin pharmacokinetics."" J Antimicrob Chemother 28 (1991): 87-94
                    11. Wadworth AN, Goa KL ""Lomefloxacin: a review of its antibacterial activity, pharmacokinetic properties and therapeutic use."" Drugs 42 (1991): 1018-60
                    12. Shimada J, Oguma T, Shiba K, et al. ""Effect of antacid on absorption of the quinolone lomefloxacin."" Antimicrob Agents Chemother 36 (1992): 1219-24
                    13. Healy DP, Sahai J, Stotka J, Polk RE ""The influence of chronic administration of calcium carbonate on the bioavailability of oral ciprofloxacin."" Br J Clin Pharmacol 35 (1993): 302-4
                    14. Lehto P, Kivisto KT ""Effect of sucralfate on absorption of norfloxacin and ofloxacin."" Antimicrob Agents Chemother 38 (1994): 248-51
                    15. Noyes M, Polk RE ""Norfloxacin and absorption of magnesium-aluminum."" Ann Intern Med 109 (1988): 168-9
                    16. Grasela TH Jr, Schentag JJ, Sedman AJ, et al. ""Inhibition of enoxacin absorption by antacids or ranitidine."" Antimicrob Agents Chemother 33 (1989): 615-7
                    17. Lehto P, Kivisto KT ""Different effects of products containing metal ions on the absorption of lomefloxacin."" Clin Pharmacol Ther 56 (1994): 477-82
                    18. Cummings DM, Spivey JM, Pierson NR ""Failure of prostatitis treatment secondary to probable ciprofloxacin-sucralfate drug interaction."" Pharmacotherapy 16 (1996): 314-6
                    19. ""Product Information. Levaquin (levofloxacin)."" Ortho McNeil Pharmaceutical (2001):
                    20. ""Product Information. Raxar (grepafloxacin)."" Glaxo Wellcome (2001):
                    21. ""Product Information. Zagam (sparfloxacin)."" Rhone Poulenc Rorer (2001):
                    22. ""Product Information. Trovan (trovafloxacin)."" Pfizer U.S. Pharmaceuticals (2001):
                    23. Dogolo LC, Teng R, Friedman HL, Vincent J, Willavize SA ""Effect of Maalox and omeprazole on the bioavailability of trovafloxacin."" J Antimicrob Chemother 39 Suppl B (1997): 93-7
                    24. Koeppe P, Borner K, Geerdes-Fenge HF, Lode H, Zix JA, Rau M, Vockler J ""Pharmacokinetics of sparfloxacin and interaction with cisapride and sucralfate."" Antimicrob Agents Chemother 41 (1997): 1668-72
                    25. Gillespie BK, Honig PK ""Clinical significance of pharmacokinetic drug interactions with over-the-counter (OTC) drugs."" Clin Pharmacokinet 35 (1998): 167-71
                    26. Caille G, Dorr MB, Johnson RD, Talbot GH ""Effect of Maalox on the oral absorption of sparfloxacin."" Clin Ther 20 (1998): 1149-58
                    27. Koeppe P, Lober S, Mignot A, Schreiber G, Lode H, Ziege S, Rau M ""Pharmacokinetics of gatifloxacin and interaction with an antacid containing aluminum and magnesium."" Antimicrob Agents Chemother 43 (1999): 1067-71
                    28. Allen A, Lewis A, Porter A, Vousden M ""Effect of Maalox((R)) on the bioavailability of oral gemifloxacin in healthy volunteers."" Chemotherapy 45 (1999): 504-11
                    29. Nakano S, Nakashima H, Ogawa K, Kamberi M, Oda N ""The effect of staggered dosing of sucralfate on oral bioavailability of sparfloxacin."" Br J Clin Pharmacol 49 (2000): 98-103
                    30. ""Product Information. Factive (gemifloxacin)."" *GeneSoft Inc (2003):","Ципрофлоксацин и поливитамины с минералами не следует принимать внутрь одновременно. Продукты, содержащие магний, алюминий, кальций, железо и/или другие минералы, могут препятствовать всасыванию ципрофлоксацина в кровоток и снижать его эффективность. Если возможно, лучше избегать приема поливитаминов с минералами во время лечения ципрофлоксацином. В противном случае ципрофлоксацин следует принимать за 2-4 часа до или через 4-6 часов после приема поливитаминов с минералами, ципрофлоксацин следует принимать по крайней мере за 2 часа до и не менее чем через 6 часов после предварительной подготовки кишечника (сульфаты магния/калия/натрия), или следует принимать ципрофлоксацин и поливитамины с минералами. по указанию вашего лечащего врача.",yes,moderate,0092,drug-food
